
════ mnli_svd_naive ════

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
      0.0          112,802         50    2,256.0    2,240.0     2,208     2,304         21.7  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.0          112,192         50    2,243.8    2,240.0     2,144     2,336         42.2  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0           85,088         50    1,701.8    1,696.0     1,632     1,856         59.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, …
      0.0           72,769         50    1,455.4    1,344.0     1,248     1,952        226.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorItera…


════ mnli_svd_flashsvd ════

════ mnli_svd_flashsvd15 ════

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     37.5      406,853,119        600  678,088.5  677,892.5   665,572   693,157      5,393.9  fused_ffn_full_batched_bias                                                                         
     18.3      198,445,984      7,800   25,441.8   25,024.0     2,592    52,672     19,797.8  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
     17.1      185,222,098      3,000   61,740.7   79,744.0    29,376    91,745     24,357.8  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn                                          
     10.3      111,727,661        600  186,212.8  185,665.5   178,657   198,818      3,626.5  _flashsvdattn_v16_rank_kernel                                                                       
      6.2       67,660,315      1,250   54,128.3   36,848.5    13,600    99,137     40,305.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, …
      3.9       41,862,082      1,250   33,489.7   30,720.0    28,256    40,064      4,277.3  void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float>(int, T2, const T1 *,…
      2.3       25,210,893      3,600    7,003.0    6,176.5       896    16,256      6,114.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std:…
      2.2       24,328,685        600   40,547.8   40,545.0    38,144    42,848        774.3  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn                                                      
      1.5       16,064,862        650   24,715.2   24,832.0    22,272    26,208        665.9  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.4        4,680,865        150   31,205.8   29,232.0     4,256    64,032     22,378.3  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.2        1,819,495        600    3,032.5    3,040.0     2,848     3,232         60.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1          741,607        600    1,236.0    1,280.0       896     1,888        126.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<ch…
      0.1          565,578         50   11,311.6   11,184.0    10,784    12,608        437.2  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      0.0          185,373         50    3,707.5    3,712.0     3,584     3,808         57.8  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_64x64_tn_align1>(T1::Params)          
      0.0          179,776         50    3,595.5    3,616.0     3,424     3,744         71.6  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe…
      0.0          148,835         50    2,976.7    2,976.0     2,784     3,104         60.1  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0          115,488         50    2,309.8    2,304.0     2,016     2,432         65.2  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.0          113,888         50    2,277.8    2,272.0     2,176     2,336         33.4  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          109,759         50    2,195.2    2,208.0     2,112     2,304         31.7  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.0           86,978         50    1,739.6    1,728.0     1,664     1,888         53.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, …
      0.0           61,952         50    1,239.0    1,248.0     1,216     1,312         20.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorItera…


════ mnli_adasvd_naive ════

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     15.3      392,402,349        600  654,003.9  653,892.5   641,381   669,637      4,319.4  void <unnamed>::softmax_warp_forward<c10::BFloat16, c10::BFloat16, float, (int)9, (bool)0, (bool)0>…
     14.4      369,366,453        600  615,610.8  615,652.0   605,412   623,525      2,917.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::BFloat16, c10…
     11.7      299,557,246      3,650   82,070.5   54,432.0    21,569   312,771     90,739.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
     10.8      276,285,247        600  460,475.4  460,611.0   455,011   465,347      1,867.6  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Para…
      9.0      229,577,079      1,100  208,706.4  315,634.0    29,984   327,299    125,831.7  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn                                          
      7.2      185,471,095      4,200   44,159.8   38,016.0     6,176   121,313     38,041.7  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      7.0      179,554,829        600  299,258.0  299,218.0   292,834   307,106      2,168.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIte…
      6.4      164,905,015      1,800   91,613.9   91,440.5    84,288   104,129      2,953.0  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Par…
      5.6      143,336,657      1,400  102,383.3   74,896.5    46,016   208,514     62,318.2  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_256x128_nn_align1>(T1::Params)        
      3.4       86,642,251      1,000   86,642.3   52,848.0    29,215   166,753     57,698.7  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_256x128_32x3_nn_align2>(T1::Params)  
      2.6       67,010,472      1,250   53,608.4   49,184.0    33,216    95,712     13,408.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, …
      2.0       51,920,099      1,800   28,844.5   28,737.0    26,560    32,416        946.0  ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_nn                                                       
      1.5       37,891,812      1,250   30,313.4   29,248.5    27,488    37,985      2,438.9  void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float>(int, T2, const T1 *,…
      1.0       25,244,216        150  168,294.8  168,193.5   162,401   175,906      2,622.5  ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_nn                                         
      0.8       19,649,551        100  196,495.5  196,593.5   190,529   200,961      2,157.9  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_128x128_nn_align1>(T1::Params)        
      0.8       19,358,705        200   96,793.5   96,769.0    95,233    98,881        778.8  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_128x256_nn_align1>(T1::Params)        
      0.2        5,838,322        150   38,922.1   38,784.0    37,920    40,448        593.4  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn                                                      
      0.2        5,299,880        100   52,998.8   53,024.5    51,328    54,368        563.5  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x128_64x3_nn_align2>(T1::Params)  
      0.2        4,056,132        150   27,040.9   24,512.0     4,256    57,088     19,664.0  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0          597,415         50   11,948.3   12,032.0    10,432    12,512        366.5  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      0.0          184,992         50    3,699.8    3,712.0     3,553     3,872         66.2  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_64x64_tn_align1>(T1::Params)          
      0.0          178,434         50    3,568.7    3,584.0     3,424     3,712         46.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe…
      0.0          147,329         50    2,946.6    2,944.0     2,848     3,104         56.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0          114,080         50    2,281.6    2,272.0     2,048     2,368         54.6  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.0          112,736         50    2,254.7    2,240.0     2,208     2,304         20.7  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.0          110,786         50    2,215.7    2,208.0     2,112     2,304         45.5  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0           86,147         50    1,722.9    1,696.0     1,632     1,856         63.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, …
      0.0           69,507         50    1,390.1    1,280.0     1,216     1,952        200.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorItera…


════ mnli_adasvd_flashsvd ════

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     50.0    1,072,020,956        600  1,786,701.6  1,841,533.5  1,431,466  1,905,614    132,072.5  fused_ffn_phase1                                                                                    
     23.2      496,802,756        600    828,004.6    828,662.5    775,493    850,982     12,022.2  _demo_attn_kernel                                                                                   
      7.3      157,268,384      1,800     87,371.3     85,600.0     81,216    102,272      4,856.6  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Par…
      4.2       90,008,449      7,800     11,539.5      7,920.0      2,016     29,696      9,322.4  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      3.3       70,765,861      1,000     70,765.9     68,400.5     46,400    107,649     18,867.9  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_256x128_nn_align1>(T1::Params)        
      2.9       61,502,525      1,250     49,202.0     47,904.5     15,424    100,929     16,542.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, …
      2.0       42,404,894      1,250     33,923.9     33,536.0     28,672     43,841      2,324.4  void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float>(int, T2, const T1 *,…
      1.7       37,181,234      1,250     29,745.0     25,280.0     22,432     60,321     10,891.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      1.4       30,194,162        600     50,323.6     50,432.5     48,576     52,544        831.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::Te…
      1.2       25,127,802        600     41,879.7     37,216.5     29,408     73,760     12,125.9  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_256x128_32x3_nn_align2>(T1::Params)  
      1.1       22,654,196        200    113,271.0    113,441.0    106,144    117,857      1,960.2  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_128x256_nn_align1>(T1::Params)        
      0.8       16,159,296        350     46,169.4     54,720.0     30,144     62,305     13,320.4  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn                                          
      0.3        6,695,953        150     44,639.7     44,800.5     41,920     47,489      1,163.1  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn                                                      
      0.3        6,491,541        100     64,915.4     64,768.0     61,088     69,536      1,804.8  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x128_64x3_nn_align2>(T1::Params)  
      0.2        4,623,459        150     30,823.1     27,056.5      4,320     64,352     23,301.4  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.1        1,517,577        600      2,529.3      2,528.0      2,336      2,624         46.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          785,541        600      1,309.2      1,312.0        928      1,984        145.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<ch…
      0.0          663,749         50     13,275.0     13,264.0     12,321     14,272        522.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      0.0          191,331         50      3,826.6      3,840.0      3,552      3,968         63.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe…
      0.0          185,762         50      3,715.2      3,712.0      3,616      3,872         57.2  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_64x64_tn_align1>(T1::Params)          
      0.0          158,367         50      3,167.3      3,168.0      2,848      3,360         81.2  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0          122,752         50      2,455.0      2,464.0      2,048      2,528         66.9  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.0          120,386         50      2,407.7      2,400.0      2,208      2,944        101.1  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          112,512         50      2,250.2      2,240.0      2,208      2,336         25.4  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.0           88,545         50      1,770.9      1,760.0      1,664      1,888         61.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, …
      0.0           65,920         50      1,318.4      1,312.0      1,248      1,632         69.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorItera…


════ mnli_adasvd_flashsvd15 ════

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     42.2      416,827,023        600  694,711.7  696,309.5   627,365   744,773     22,545.0  fused_ffn_full_batched_bias                                                                         
     15.7      154,763,740      1,800   85,979.9   84,896.5    80,449   102,560      4,124.3  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Par…
     11.8      116,513,271        600  194,188.8  192,194.0   181,441   214,722      6,488.9  _flashsvdattn_v16_rank_kernel                                                                       
      7.5       74,180,444      4,200   17,662.0   23,840.0     6,304    26,208      7,951.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      5.5       54,763,106        750   73,017.5   76,112.5    47,521   104,513     18,375.5  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_256x128_nn_align1>(T1::Params)        
      4.5       44,442,656      1,250   35,554.1   35,728.0    13,792    96,353     23,587.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, …
      4.3       42,647,529      1,250   34,118.0   33,904.5    28,256    41,632      2,910.9  void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float>(int, T2, const T1 *,…
      2.2       21,517,504        200  107,587.5  107,761.0   101,185   112,353      2,509.4  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_128x256_nn_align1>(T1::Params)        
      1.7       17,217,821        400   43,044.6   40,433.0    28,832    66,752     12,625.7  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_256x128_32x3_nn_align2>(T1::Params)  
      1.6       15,818,401        650   24,336.0   24,352.0    22,400    26,560        677.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      1.5       15,195,950        350   43,417.0   51,105.0    30,273    58,560     10,780.1  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn                                          
      0.6        5,886,378        100   58,863.8   59,137.0    53,793    63,585      2,252.8  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x128_64x3_nn_align2>(T1::Params)  
      0.4        4,345,503        150   28,970.0   26,336.5     4,288    61,697     21,181.0  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.2        1,745,673        600    2,909.5    2,896.5     2,272     3,520        212.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1          794,536        600    1,324.2    1,312.0       928     1,984        121.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<ch…
      0.1          595,557         50   11,911.1   11,936.0    10,656    13,120        658.0  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      0.0          192,194         50    3,843.9    3,840.0     3,744     4,032         63.3  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_64x64_tn_align1>(T1::Params)          
      0.0          188,032         50    3,760.6    3,776.0     3,488     3,936         96.4  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe…
      0.0          154,848         50    3,097.0    3,104.0     2,848     3,328        105.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0          119,776         50    2,395.5    2,400.0     2,048     2,560         93.9  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.0          115,363         50    2,307.3    2,304.0     2,112     2,496         85.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          112,479         50    2,249.6    2,240.0     2,207     2,336         23.6  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.0           84,033         50    1,680.7    1,664.0     1,600     1,856         57.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, …
      0.0           66,467         50    1,329.3    1,312.0     1,280     1,632         78.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorItera…

